Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
2.31873E7 ; 0.0
2.4E7 ; 2.01315E-6
2.6E7 ; 0.00252703
2.8E7 ; 0.0223556
3.0E7 ; 0.0525707
3.5E7 ; 0.122664
4.0E7 ; 0.0834947
4.5E7 ; 0.0265194
5.0E7 ; 0.0301906
5.5E7 ; 0.023948
6.0E7 ; 0.0158208
6.5E7 ; 0.0100249
7.0E7 ; 0.00657965
7.5E7 ; 0.00449555
8.0E7 ; 0.0031819
9.0E7 ; 0.00177754
1.0E8 ; 0.00109374
1.1E8 ; 6.7134E-4
1.2E8 ; 4.55902E-4
